fighter,fighter_odds,opponent,opponent_odds
Kamuela Kirk,+165,Esteban Ribovics,−195
Shannon Ross,+180,Jesus Santos Aguilar,−210
Vitor Petrino,−260,Marcin Prachnio,+220
Jimmy Crute,−110,Alonzo Menifield,−110
Yazmin Jauregui,−410,Denise Gomes,+330
Sean Brady,−115,Jack Della Maddalena,−105
Robbie Lawler,+225,Niko Price,−265
Bo Nickal,−1250,Tresean Gore,+800
Jalin Turner,−250,Dan Hooker,+210
Robert Whittaker,−380,Dricus Du Plessis,+310
Brandon Moreno,−175,Alexandre Pantoja,+150
Alexander Volkanovski,−410,Yair Rodriguez,+330
Michael Chiesa,+150,Kevin Holland,−175
Derrick Lewis,−110,Marcos Rogerio De Lima,−110
Stephen Thompson,−215,Michel Pereira,+185
Paulo Costa,+105,Ikram Aliskerov,−125
Tony Ferguson,+275,Bobby Green,−330
Jan Blachowicz,−150,Alex Pereira,+130
Dustin Poirier,−130,Justin Gaethje,+110
Ikram Aliskerov,−115,Paulo Costa,−105
Kevin Holland,−175,Michael Chiesa,+150
Henry Cejudo,−330,Marlon Vera,+275
Aljamain Sterling,−255,Sean O'Malley,+215
Alexa Grasso,+195,Valentina Shevchenko,−230
Curtis Blaydes,+125,Jailton Almeida,−145
Khamzat Chimaev,−350,Paulo Costa,+290
Jon Jones,−320,Stipe Miocic,+265
Leon Edwards,−110,Colby Covington,−110
Conor McGregor,−110,Michael Chandler,−110
Islam Makhachev,−285,Charles Oliveira,+240
