fighter,opponent,weight_class
Sean Strickland,Abus Magomedov,Middleweight
Damir Ismagulov,Grant Dawson,Lightweight
Max Griffin,Michael Morales,Welterweight
Ariane Lipski,Melissa Gatto,Women's Flyweight
Ismael Bonfim,Benoit Saint Denis,Lightweight
Brunno Ferreira,Nursulton Ruziboev,Middleweight
Kevin Lee,Rinat Fakhretdinov,Welterweight
Joanderson Brito,Westin Wilson,Featherweight
Yana Santos,Karol Rosa,Women's Featherweight
Guram Kutateladze,Elves Brener,Lightweight
Ivana Petrovic,Luana Carolina,Women's Flyweight
Alexandr Romanov,Blagoy Ivanov,Heavyweight
